gwasID,Bolting,InitLeafLen,log_BbLe_max
8296,1,28,3.295836866
8325,1,39,4.304065093
6039,1,33,0
8244,0,20,0
8233,0,28,0
8222,0,30,0
8378,1,29,0
6960,1,30,0
7417,0,23,0
6016,0,30,0
6970,0,32,0
6940,1,20,1.386294361
6962,1,15,4.110873864
6916,0,27,1.791759469
6932,1,25,2.302585093
6966,0,30,0
7323,1,31,1.945910149
6915,0,24,0
6074,0,27,0
6961,0,30,0
7296,1,24,1.609437912
6830,1,30,4.543294782
6901,0,17,3.988984047
6926,1,21,2.995732274
8343,1,22,2.302585093
6910,1,26,3.433987204
9057,0,24,1.098612289
6939,1,29,1.609437912
7514,0,25,0
6903,1,21,1.791759469
8231,0,25,0
6969,0,26,0
8238,1,34,3.688879454
6981,1,24,4.304065093
6946,0,24,1.609437912
8306,0,17,0
7207,0,24,1.791759469
6920,0,23,0
7287,1,35,1.945910149
7296,0,29,1.386294361
8245,1,34,0.693147181
7186,1,30,3.871201011
6901,0,20,2.564949357
6904,0,21,0
6964,0,24,0
6074,0,31,0
9058,0,30,0
8222,0,37,0
8230,0,26,0
7373,1,32,3.044522438
6974,0,24,0.693147181
8314,0,25,3.63758616
8422,0,30,0
6965,0,21,0
6942,1,27,4.49980967
8430,0,30,2.397895273
8351,0,28,2.772588722
8290,0,30,3.555348061
6921,0,26,0
6929,1,34,2.397895273
6951,1,25,2.397895273
7415,1,21,1.386294361
6987,1,27,1.945910149
8335,0,20,0
7522,0,23,0
7300,0,29,0
8242,0,31,0
7517,0,31,2.302585093
8412,1,34,0
7523,0,30,0
8215,1,25,3.871201011
6945,0,35,1.945910149
6963,1,39,0
8236,0,19,0
8284,0,30,0
8334,0,27,2.397895273
7521,0,23,1.609437912
8234,0,26,0.693147181
8337,0,17,0
6985,1,30,3.36729583
6979,1,34,4.204692619
6923,1,20,3.850147602
8296,1,31,2.944438979
5837,1,30,0
6976,0,24,0
8214,0,19,0
7520,1,25,1.098612289
8329,1,22,3.663561646
6943,1,23,3.218875825
8388,1,23,3.135494216
7015,1,33,3.091042453
6936,0,32,2.397895273
8395,1,40,3.737669618
6709,1,24,0
8271,0,26,0
6932,1,25,1.386294361
7413,1,27,2.302585093
6926,1,30,4.094344562
6930,1,30,4.317488114
8243,0,24,1.945910149
8249,0,25,0
6971,0,37,0
8426,1,20,1.098612289
6918,0,23,0
8326,0,34,0
6243,1,33,1.386294361
6910,1,26,3.80666249
6909,1,18,1.098612289
6960,1,22,0
7298,1,20,2.48490665
6959,0,28,0
5719,0,35,0
6978,1,22,2.302585093
8313,1,17,1.945910149
7516,0,35,1.945910149
8247,0,26,0
8311,1,27,1.609437912
8297,0,29,0
8366,1,30,1.386294361
8353,1,25,3.891820298
6039,0,31,1.098612289
7033,0,24,0
8244,0,18,2.772588722
8424,0,35,0.693147181
6980,0,33,0
6042,1,30,3.663561646
6944,0,34,2.197224577
8300,1,25,2.197224577
6898,1,30,4.077537444
8270,1,26,1.098612289
8374,1,35,0
6982,0,32,1.791759469
6968,0,34,0
8378,1,25,0.693147181
6972,1,37,0
8283,0,23,3.258096538
8256,0,24,3.044522438
6956,0,26,0
6970,1,30,3.258096538
8376,0,21,0
6933,0,29,0.693147181
6917,0,26,0
6937,1,34,2.944438979
6927,0,23,0
8246,0,26,0
8312,0,30,2.890371758
6008,1,32,3.610917913
6922,0,23,1.791759469
8235,0,18,0.693147181
7525,0,19,0
6916,0,32,1.098612289
10022,1,27,0.693147181
8237,0,35,0
8354,1,25,2.833213344
6938,1,34,0.693147181
7461,1,23,0.693147181
6983,0,35,0.693147181
6915,0,21,2.197224577
9057,0,20,1.609437912
8258,0,18,2.772588722
8310,1,31,0
7223,0,21,0
8323,0,25,0
6830,1,20,0
8304,1,21,1.386294361
6900,0,20,0
6975,1,30,3.36729583
6940,1,20,1.609437912
6907,1,30,1.791759469
7524,0,22,1.386294361
