"GOout.GO","GOout.p_val"
"GO:0070059",0.159225
"GO:1990604",0.159225
"GO:0036498",0.159225
"GO:0006829",0.159267
"GO:0006354",0.159913
"GO:0110104",0.160075
"GO:0009893",0.160214
"GO:0045047",0.160324
"GO:0098655",0.161086
"GO:0032301",0.162053
"GO:0008481",0.162459
"GO:0090332",0.163011
"GO:0051321",0.163222
"GO:0004843",0.163346
"GO:0061716",0.163862
"GO:0032440",0.164532
"GO:0002213",0.164934
"GO:0008987",0.165236
"GO:0034628",0.165236
"GO:0015175",0.165285
"GO:0009301",0.16536
"GO:1990904",0.166097
"GO:0043622",0.166241
"GO:0010069",0.166324
"GO:0016740",0.166362
"GO:1900055",0.166828
"GO:0080029",0.167318
"GO:0102121",0.168201
"GO:0008840",0.168385
"GO:0042548",0.168491
"GO:0010483",0.168587
"GO:0009072",0.169135
"GO:0042989",0.169796
"GO:0005686",0.169988
"GO:0000293",0.170312
"GO:0047834",0.170483
"GO:0008309",0.170545
"GO:0031361",0.170589
"GO:0016053",0.171449
"GO:0000373",0.171504
"GO:0019953",0.171548
"GO:0071478",0.171709
"GO:0009805",0.172582
"GO:0032541",0.172697
"GO:0031080",0.173311
"GO:0061608",0.17415
"GO:0005680",0.174713
"GO:0048573",0.175145
"GO:0004819",0.175255
"GO:0042776",0.175383
"GO:0032183",0.175562
"GO:0010016",0.175643
"GO:0016127",0.176116
"GO:0034434",0.176116
"GO:0010447",0.17687
"GO:0000014",0.176942
"GO:0010321",0.176995
"GO:0042939",0.177858
"GO:0032147",0.178021
"GO:1905038",0.178199
"GO:0010239",0.178515
"GO:0018283",0.178559
"GO:0006721",0.17862
"GO:0033365",0.178692
"GO:0034755",0.17902
"GO:0071369",0.179256
"GO:0052689",0.179513
"GO:0010192",0.179774
"GO:0035101",0.180167
"GO:0048027",0.180274
"GO:0010205",0.180567
"GO:0010389",0.18075
"GO:0016628",0.180753
"GO:0008514",0.181317
"GO:0010376",0.181478
"GO:0032953",0.181944
"GO:0050113",0.182065
"GO:0019310",0.182065
"GO:0019236",0.182201
"GO:0005198",0.182225
"GO:0003002",0.182471
"GO:0071894",0.182799
"GO:0010390",0.182799
"GO:0010228",0.183475
"GO:0042742",0.183768
"GO:0009671",0.183945
"GO:0080188",0.184018
"GO:0003955",0.184436
"GO:0050793",0.185777
"GO:0032324",0.18667
"GO:0031982",0.187015
"GO:0016049",0.187279
"GO:0016226",0.18791
"GO:0016281",0.187973
"GO:0051119",0.188151
"GO:0004829",0.188509
"GO:0090057",0.188642
"GO:0010618",0.188703
"GO:0080088",0.189124
"GO:0102965",0.189524
"GO:0000162",0.18959
"GO:0046685",0.18994
"GO:0031597",0.190215
"GO:0070727",0.190501
"GO:0071577",0.190982
"GO:0005758",0.191221
"GO:0033214",0.191461
"GO:0046898",0.191635
"GO:0004439",0.191993
"GO:0032446",0.192217
"GO:2000008",0.192507
"GO:1990404",0.193155
"GO:0090549",0.193756
"GO:0043812",0.193946
"GO:0019481",0.194058
"GO:0045892",0.194098
"GO:0009944",0.194098
"GO:0008270",0.194928
"GO:0048532",0.195025
"GO:0002376",0.195248
"GO:0001887",0.195288
"GO:0048316",0.195309
"GO:0009649",0.196065
"GO:0019217",0.196147
"GO:0005547",0.196392
"GO:0000701",0.196406
"GO:0090357",0.196694
"GO:1901959",0.196745
"GO:0070212",0.196824
"GO:0018023",0.197389
"GO:0097361",0.199006
"GO:1905200",0.199382
"GO:1905039",0.199382
"GO:0071782",0.199535
"GO:0008253",0.199762
"GO:0031977",0.200803
"GO:0004518",0.200832
"GO:0005509",0.201183
"GO:0019478",0.20147
"GO:0006364",0.20159
"GO:0005851",0.201642
"GO:0031063",0.20165
"GO:0030891",0.20165
"GO:0048449",0.20216
"GO:0018685",0.202345
"GO:0030060",0.202362
"GO:0008312",0.202976
"GO:0006626",0.202982
"GO:0042325",0.203308
"GO:0009594",0.204149
"GO:0006744",0.204469
"GO:0006223",0.204792
"GO:0051592",0.204965
"GO:1903428",0.205521
"GO:0106307",0.205624
"GO:0106306",0.205624
"GO:0006072",0.205775
"GO:0000785",0.205891
"GO:1990481",0.205899
"GO:1904250",0.205965
"GO:0019005",0.206124
"GO:0090697",0.206223
"GO:0004834",0.206232
"GO:0034508",0.206306
"GO:0019843",0.206788
"GO:1990298",0.207194
"GO:0031325",0.20729
"GO:0033692",0.207324
"GO:0019900",0.207621
"GO:1900424",0.207978
"GO:0000932",0.208193
"GO:0007095",0.20904
"GO:0009535",0.209296
"GO:0032451",0.209321
"GO:0006890",0.209604
"GO:0042794",0.209756
"GO:0008283",0.209813
"GO:0022900",0.210105
"GO:0051117",0.210516
"GO:0005740",0.21166
"GO:0071805",0.212191
"GO:0080169",0.212312
"GO:0051260",0.212434
"GO:0032585",0.21258
"GO:0042803",0.213074
"GO:1902806",0.213361
"GO:0051173",0.213579
"GO:0001578",0.213687
"GO:0072423",0.213968
"GO:0021700",0.214011
"GO:0019210",0.214255
"GO:0005741",0.214297
"GO:0031177",0.214377
"GO:0006338",0.214442
"GO:0015804",0.214991
"GO:0005267",0.215145
"GO:0032544",0.215639
"GO:0031146",0.215752
"GO:0000038",0.215868
"GO:0031972",0.216361
"GO:0003691",0.216529
"GO:0005786",0.216829
"GO:0043036",0.216991
"GO:0009734",0.21707
"GO:1901031",0.217124
"GO:0042577",0.217183
"GO:0046861",0.21779
"GO:0071472",0.217814
"GO:0006855",0.218765
"GO:0009579",0.218898
"GO:0003986",0.219258
"GO:0034660",0.219556
"GO:0004832",0.219571
"GO:0019685",0.219649
"GO:1900150",0.219938
"GO:0036374",0.220615
"GO:0070985",0.220678
"GO:0044545",0.220926
"GO:0043433",0.221201
"GO:0009932",0.221607
"GO:0046920",0.221882
"GO:0008519",0.222177
"GO:0070537",0.222243
